name,time,CO2eq,TVOC,dust_LPO_percentage,dust_LPO_time,dust_concentration,humidity,location,sensor_name,tVOC,temperature
sensor_data,1691644571526108000,400,,,,,71,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691645772219811738,400,,,,,70,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691646972349564272,400,,,,,71,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691648172982820296,400,,,,,70,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691649373309054498,447,,,,,71,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691650574056182420,400,,,,,71,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691651774711696190,400,,,,,71,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691652975376096562,441,,,,,70,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1691654175795084161,466,,,,,70,Living_Room,Temperature_Humidity_Sensor,0,22
sensor_data,1701772916918222493,,,,,,35,,,,24
sensor_data,1701773264661724375,,,,,,30,,,,25
sensor_data,1701773434069733795,,,,,,28,,,,27
sensor_data,1701773444517749687,,,,,,31,,,,25
sensor_data,1701773454950152252,,,,,,31,,,,25
sensor_data,1701773465397946968,,,,,,32,,,,25
sensor_data,1709816641264033600,,,,,,43.69761441104549,,,,28.333482908829573
sensor_data,1709816943610013924,,,,,,50.446564924734645,,,,28.13489460685269
sensor_data,1709817245974035970,,,,,,49.828783790413894,,,,20.802557516387974
sensor_data,1709817547800212166,,,,,,48.55003733517631,,,,23.70159923325643
sensor_data,1709817849443389920,,,,,,55.690407060609864,,,,27.62964677504923
sensor_data,1709818151309053971,,,,,,53.07807891842593,,,,25.233801718910325
sensor_data,1709818453472668504,,,,,,43.34128543502202,,,,23.73978185343251
sensor_data,1709818722958945968,,,,,,49.641287364381284,,,,20.115864080276157
sensor_data,1709819922502704087,,,,,,44.63974495038323,,,,25.690004708774318
sensor_data,1709820224801571179,,,,,,55.3898175455784,,,,20.750214106219698
sensor_data,1709820330102346567,,,,,,51.70467122428537,,,,27.575732690741695
sensor_data,1709820526940793375,,,,,,41.377602777505736,,,,20.979607983614105
sensor_data,1709820632620113581,,,,,,47.46965940750082,,,,20.102954095673738
sensor_data,1709820828481427249,,,,,,44.95939489703787,,,,23.774216632605125
sensor_data,1709820935039226591,,,,,,58.77528618538763,,,,27.668148676835486
sensor_data,1709821129822092025,,,,,,59.10615676597939,,,,20.069141274344457
sensor_data,1709821236947383405,,,,,,58.94576738206814,,,,22.25132630992604
sensor_data,1709821539206765206,,,,,,53.19780641247182,,,,23.256704595499002
sensor_data,1709821842024377738,,,,,,43.23212908432252,,,,27.958634499858306
sensor_data,1709824128223022675,,,,,,51.00491298290058,,,,27.221647000186646
sensor_data,1709824430542019750,,,,,,46.602536059551944,,,,29.683115300670423
sensor_data,1709824733000026272,,,,,,49.60460527578362,,,,29.757916759676114
sensor_data,1709825035442047982,,,,,,47.637413135732636,,,,28.705699150341225
sensor_data,1709825337942427553,,,,,,49.37455557078299,,,,25.592615394860523
sensor_data,1709825640181087581,,,,,,59.46809773007149,,,,25.31322632137619
sensor_data,1709825942763036368,,,,,,55.22863600350182,,,,23.824048513544426
sensor_data,1709826245122986043,,,,,,48.14651245115627,,,,24.857002752022037
sensor_data,1709826461622472799,,,,,,55.8573877134316,,,,26.739372222625065
sensor_data,1709826764001356877,,,,,,47.56073121493201,,,,26.946197720775512
sensor_data,1709827065963474451,,,,,,45.70057202796765,,,,26.855282885337388
sensor_data,1709827368418312004,,,,,,49.123355397279475,,,,23.334269149689682
sensor_data,1709827672502536657,,,,,,55.291290172498115,,,,26.538449226653146
sensor_data,1709827974841403295,,,,,,51.62474950743781,,,,26.25927173408321
sensor_data,1709828277241294181,,,,,,53.2370211630393,,,,28.181257503010556
sensor_data,1709828579680815626,,,,,,57.144926409938066,,,,25.103449549220745
sensor_data,1709828809463287701,,,,,,42.757823851983545,,,,26.38331560714486
sensor_data,1709830013940545089,,,,,,54.97668294577059,,,,26.820135713021084
sensor_data,1709831215781832992,,,,,,57.28032428997517,,,,26.703585775997585
sensor_data,1709832418243030370,,,,,,49.521877821940606,,,,26.486042163544973
sensor_data,1709833631204745584,,,,,,50.055275629055956,,,,27.724057305032737
sensor_data,1709834833501690374,,,,,,47.629750745042564,,,,29.713081745684825
sensor_data,1709836035980508379,,,,,,56.936201416820566,,,,25.036566266561895
sensor_data,1709837238241768851,,,,,,42.27536259700209,,,,27.752208498970774
sensor_data,1709839340198519679,,,,,,56.79389818098995,,,,25.374348504247493
sensor_data,1709839453420398477,,,,,,41.83038510286812,,,,21.271828069081685
sensor_data,1709840658504794345,,,,,,43.84747613521796,,,,23.575926323742088
sensor_data,1709841861026520156,,,,,,43.10481552443709,,,,29.397907478437183
sensor_data,1709843063114473580,,,,,,47.72153729840707,,,,22.132516506886553
sensor_data,1709844265638208811,,,,,,47.908237694760516,,,,22.714327193062864
sensor_data,1709845467944010373,,,,,,52.553088707311666,,,,28.22051171081365
sensor_data,1709878097439782951,,,,,,53.71154867293397,,,,23.848934611449916
sensor_data,1709879297489763466,,,,,,43.0692206501333,,,,26.802547560130304
sensor_data,1709880497604906389,,,,,,43.294598206903686,,,,20.24370392561905
sensor_data,1709882049545433622,,,,,,58.210130066759646,,,,28.5479389090032
sensor_data,1709883249649185022,,,,,,59.65037360705335,,,,29.81253629827825
sensor_data,1709884449753161611,,,,,,59.45682774932645,,,,26.697323422238487
sensor_data,1709886709125567478,,,,,,52.738344397439754,,,,24.459021965515216
sensor_data,1709887909226379589,,,,,,46.760119298556845,,,,24.72465228818791
sensor_data,1709889385264298676,,,,,,50.12832953914241,,,,21.482326048725866
sensor_data,1709891106223196515,,,,,,44.67483306727751,,,,29.333591945702114
sensor_data,1709892334494682573,,,,,,45.47808940478984,,,,29.52583282897933
sensor_data,1709892801858110898,,,,,,58.0224978625671,,,,22.335615664965406
sensor_data,1709894004201016558,,,,,,45.41772787394928,,,,27.323638344174174
sensor_data,1709894212104902939,,,,,,42.87021283252613,,,,25.699184492795915
sensor_data,1709894485981856518,,,,,,47.12455206992673,,,,20.45491086040748
sensor_data,1709895293103433624,,,,,,50.55248070901431,,,,21.786605762751904
sensor_data,1709896495360137587,,,,,,47.59436595534478,,,,22.251412848928904
sensor_data,1709897697821279759,,,,,,54.95026532185713,,,,26.670630013798267
sensor_data,1709898900221828833,,,,,,49.215555639099065,,,,29.913954887928426
sensor_data,1709900102746183036,,,,,,47.115209869826785,,,,21.277762512809797
sensor_data,1709901305461034691,,,,,,57.550530047784534,,,,21.053936811895653
sensor_data,1709902509403474497,,,,,,41.47992688582688,,,,24.79698981259657
sensor_data,1709903710859243549,,,,,,47.36490344307603,,,,26.21963203955586
sensor_data,1709904913642801132,,,,,,59.47322046329484,,,,22.98431193924283
sensor_data,1709906115765370886,,,,,,45.52245933362068,,,,20.536484038170503
sensor_data,1709907318140842318,,,,,,57.69905225506249,,,,26.45348208342418
sensor_data,1709908520406141867,,,,,,42.832673320979474,,,,29.411357069296194
sensor_data,1709909723000048007,,,,,,42.23140239153506,,,,21.09421931630809
sensor_data,1709910925425631363,,,,,,45.705246045554894,,,,20.477694298338175
sensor_data,1709912128060044392,,,,,,57.5473077443483,,,,22.453320365967855
sensor_data,1709913329600158227,,,,,,42.55105322152992,,,,24.116353033852988
sensor_data,1709914531921389933,,,,,,54.77207085333772,,,,28.708466463908483
